image,link,title
/static/portals/free-to-use/public-domain/holidays/01601v.jpg,/item/2004669669/,Christmas Eve
/static/portals/free-to-use/public-domain/holidays/09340v.jpg,/item/ggb2004009340/,Christmas shoppers
/static/portals/free-to-use/public-domain/holidays/43110v.jpg,/item/2015646473/,Harper's Christmas
/static/portals/free-to-use/public-domain/holidays/17745v.jpg,/item/ggb2005018053/,Packing for Christmas Ship
/static/portals/free-to-use/public-domain/holidays/25480v.jpg,/item/2010651354/,Christmas number / Frank A. Nankivell '00.
/static/portals/free-to-use/public-domain/holidays/8c08421v.jpg,/item/fsa2000029184/PP/,"Guanica, Puerto Rico (vicinity). At a Three Kings'' eve party in the home of a farm laborer''s family..."
/static/portals/free-to-use/public-domain/holidays/8c08391v.jpg,/item/fsa2000029154/PP/,"Guanica, Puerto Rico (vicinity). At a Three Kings'' eve party in a tenant farmer''s home in the sugar country"
/static/portals/free-to-use/public-domain/holidays/35686v.jpg,/item/hec2013005722/,"Snowball fight in front of U.S. Capitol, Washington, D.C."
/static/portals/free-to-use/public-domain/holidays/28003v.jpg,/item/2011649649/,Christmas Puck / W.E. Hill '13.
/static/portals/free-to-use/public-domain/holidays/3b40178r.jpg,/item/92520926/,Christmas eve--getting ready for Santa Claus
/static/portals/free-to-use/public-domain/holidays/3c11351v.jpg,/item/94508133/,New Year reception at the White House. Photo shows thousands of citizens waiting to be received
/static/portals/free-to-use/public-domain/holidays/3c03362v.jpg,/item/91783740/,New York City--the Chanucka celebration by the Young Men's Hebrew Association...
/static/portals/free-to-use/public-domain/holidays/m2a38968t.jpg,/item/00694381/,Sleighing scene (video)
/static/portals/free-to-use/public-domain/holidays/3f05546v.jpg,/item/98517785/,"""Vaudeville frolic"" Gala midnight show New Year's eve : 15 acts."
/static/portals/free-to-use/public-domain/holidays/8d11651v.jpg,/item/owi2001015559/PP/,"New York, New York. The Di Costanzo family, owners of a restaurant on Mulberry Street..."
/static/portals/free-to-use/public-domain/holidays/27593v.jpg,/item/2011647535/,New Year's eve at the hotel prosperity / Kep.
/static/portals/free-to-use/public-domain/holidays/07908v.jpg,/item/92504352/,Prang's Christmas cards
/static/portals/free-to-use/public-domain/holidays/3a46630r.jpg,/item/2001706171/,"African Americans selling Christmas trees and holly, Washington, D.C."
/static/portals/free-to-use/public-domain/holidays/8d23899v.jpg,/item/owi2001015165/PP/,"New York, New York. Blowing horns on Bleeker Street on New Year's Day"
/static/portals/free-to-use/public-domain/holidays/4101t.jpg,/item/mp76000306/,"TR calls on neighbors at Christmas, 1917 (video)"
/static/portals/free-to-use/public-domain/holidays/13965v.jpg,/item/2011632159/,"National Christmas tree on the National Mall in Washington, D.C."
/static/portals/free-to-use/public-domain/holidays/16567v.jpg,/item/mpc2010002064/PP/,"River Jordan. Epiphany ceremony, 1937"
/static/portals/free-to-use/public-domain/holidays/11596v.jpg,/item/2011646829/,"Mummers Parade on New Year's day, Philadelphia, Pennsylvania"
